State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Developing own business,Spreading Piracy,Steal Information,Abetment to Suicide,Others
Andhra Pradesh,16,17,1211,28,4,5,84,88,0,9,4,2,0,418
Arunachal Pradesh,2,2,0,1,0,0,0,0,0,0,1,0,0,2
Assam,555,263,243,518,33,14,289,16,54,0,0,0,0,240
Bihar,27,7,844,109,0,5,8,0,0,46,0,0,0,2
Chhattisgarh,2,1,47,2,25,0,30,5,0,0,0,0,0,61
Goa,2,1,9,0,2,0,1,0,0,0,0,0,0,0
Gujarat,5,20,363,17,308,10,32,1,0,0,0,0,0,24
Haryana,2,3,151,16,1,8,57,1,0,3,4,0,0,318
Himachal Pradesh,7,3,15,7,6,1,22,1,4,0,1,0,0,9
Jammu & Kashmir,5,0,27,4,1,0,5,2,1,0,0,0,0,26
Jharkhand,8,0,964,4,0,0,15,0,7,4,0,82,0,3
Karnataka,12,4,11381,43,109,1,90,9,3,16,2,0,0,350
Kerala,68,25,67,6,28,6,70,16,0,2,7,0,0,12
Madhya Pradesh,2,2,178,21,113,2,40,2,0,1,0,1,0,238
Maharashtra,48,45,3551,35,87,10,557,12,21,12,1,7,0,581
Manipur,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Meghalaya,4,7,50,7,2,0,5,2,0,0,0,0,0,11
Mizoram,1,2,0,0,0,5,0,0,0,0,0,0,0,0
Nagaland,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Odisha,24,0,1000,279,0,0,136,0,0,0,0,0,0,46
Punjab,4,8,81,23,21,5,65,4,0,3,0,1,0,26
Rajasthan,17,45,938,59,90,6,103,9,0,12,2,0,0,478
Sikkim,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Tamil Nadu,39,22,73,21,80,4,65,50,0,2,3,0,0,17
Telangana,11,4,2013,49,1,6,78,6,2,10,0,0,0,508
Tripura,1,1,2,3,6,0,2,1,0,0,0,0,0,4
Uttar Pradesh,301,81,3549,544,953,1293,430,90,106,61,18,0,0,3948
Uttarakhand,4,8,28,5,1,0,11,0,0,0,0,0,0,43
West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,0,158
A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chandigarh,4,0,7,0,0,0,7,0,0,0,0,0,0,5
D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Delhi,4,0,31,15,0,1,21,0,1,0,0,0,0,42
Lakshadweep,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,2,0,0,2
