x,y
Andhra Pradesh,1207
Arunachal Pradesh,7
Assam,2022
Bihar,374
Chhattisgarh,139
Goa,29
Gujarat,702
Haryana,418
Himachal Pradesh,69
Jammu & Kashmir,73
Jharkhand,930
Karnataka,5839
Kerala,340
Madhya Pradesh,740
Maharashtra,3511
Manipur,29
Meghalaya,74
Mizoram,6
Nagaland,2
Odisha,843
Punjab,239
Rajasthan,1104
Sikkim,1
Tamil Nadu,295
Telangana,1205
Tripura,20
Uttar Pradesh,6280
Uttarakhand,171
West Bengal,335
Total State(s),27004
A & N Islands,7
Chandigarh,30
D&N Haveli,0
Daman & Diu,0
Delhi UT,189
Lakshadweep,4
Puducherry,14
Total UT(s),244
Total (All India),27248
