2016,2017,2018,State/UT
616,931,1207,Andhra Pradesh
4,1,7,Arunachal Pradesh
696,1120,2022,Assam
309,433,374,Bihar
90,171,139,Chhattisgarh
31,13,29,Goa
362,458,702,Gujarat
401,504,418,Haryana
31,56,69,Himachal Pradesh
28,63,73,Jammu & Kashmir
259,720,930,Jharkhand
1101,3174,5839,Karnataka
283,320,340,Kerala
258,490,740,Madhya Pradesh
2380,3604,3511,Maharashtra
11,74,29,Manipur
39,39,74,Meghalaya
1,10,6,Mizoram
2,0,2,Nagaland
317,824,843,Odisha
102,176,239,Punjab
941,1304,1104,Rajasthan
1,1,1,Sikkim
144,228,295,Tamil Nadu
593,1209,1205,Telangana
8,7,20,Tripura
2639,4971,6280,Uttar Pradesh
62,124,171,Uttarakhand
478,568,335,West Bengal
